Book Title,Authors
Power System Fundamentals,"Pedro Ponce, Arturo Molina, Luis Miguel Ibarra, Brian MacCleery, Omar Mata"
Electricians' on-Site Companion,Christopher Kitcher
Electrical Engineering for Non-Electrical Engineers,S. Bobby Rauf
Intelligent systems and robotics,"George W. Zobrist, Ho, C. Y., George Zobrist, C Y Ho"
Numerical analysis in electromagnetics,Pierre Saguet
Electrical instruments in hazardous locations,Ernest C. Magison
"Electrical installations of electric light, power, traction and industrial electrical machinery","Kennedy, Rankin"
Hilfsbuch für die Elektrotechnik,"Karl Grawinkel, Anthony Fink, Friedrich Goppelsroeder, Emma Pirani, A. v. Renesse, M. Seyffert, Karl Strecker"
High-voltage engineering,Mazen Abdel-Salam
Electronics and Electrical Engineering,Alan Zhao
Mechatronics Engineering and Electrical Engineering,"Dawei Zheng, Ai Sheng"
"Electrical, Control Engineering and Computer Science",Liu Jian
Electrical engineering,George Dudley Aspinall Parr
Audel Questions and Answers for Electricians Examinations,Paul Rosenberg
Emerging Developments in the Power and Energy Industry,"Rodolfo Dufo-López, Jaroslaw Krzywanski, Jai Singh"
Electrical Science for Technicians,Adrian Waygood
"Electric, Electronic and Control Engineering","Fun Shao, Wise Shu, Tracy Tian"
Mining Industry,"Vyacheslav V. Maksarov, Viktor V. Gabov, Denis Zadkov, Nikita V. Martyushev"
Doklady,"Nauchnai͡a konferent͡sii͡a studentov VTUZov Ėstonii, Latvii, Litvy, Belorussii i Moldovy (35th 1991 Tallinn, Estonia)"
Introduction to Sensors for Electrical and Mechanical Engineers,Martin Novák
Elements of electrical engineering,Arthur Leroy Cook
Electrician's exam preparation guide,"John E. Traister, Dale C. Brickner"
Probability Concepts And Theory For Engineers,Harry Schwarzlander
Analog BiCMOS design,"James C. Daly, James C. Daly, Denis P. Galipeau"
Fossil Energy,Ripudaman Malhotra
Fundamentals of Error Correcting Codes,"W. Cary Huffman, Vera Pless"
Basic introduction to bioelectromagnetics,"Cynthia Furse, Cynthia Furse, Carl H. Durney, Douglas A. Christensen"
Elektrische Energieversorgung 1,Valentin Crastan
Electromagnetic waves and radiating systems,Edward Conrad Jordan
"Probability, statistics, and random processes for electrical engineering",Alberto Leon-Garcia
Ionosphere and applied aspects of radio communication and radar,"Nathan Blaunstein, Eugeniu Plohotniuc"
Introduction to the theory of laser-atom interactions,Marvin H. Mittleman
Comprehensive Dictionary of Electrical Engineering,Phillip A. Laplante
Audels Handy Book of Practical Electricity with Wiring Diagrams,Frank Duncan Graham
Applied electricity,J. Paley Yorke
Reeds Vol 6,Christopher Lavers
Scientific computing in electrical engineering,"Ursula van Rienen, Michael Günther"
Basic electrical engineering,A. E. Fitzgerald
Basic Electricity,Abraham Marcus
How to become a successful electrician,T. O'Conor Sloane
Power system stability,Edward Wilson Kimbark
Careers,Walter James Greenleaf
Scheduling,"Konstantin Kogan, K. Kogan, E. Khmelnitsky"
Industrial electricity,John M. Nadon
Capacitive sensors,"Larry K. Baxter, Robert J. Herrick"
Basic mathematics for electronics,Nelson Magor Cooke
Study notes for technicians,John B. Pratley
Electrical engineering for professional engineers' examinations,John Dennis Constance
Understanding electricity and electronics,Peter Buban
Questions and answers for electricians examinations,Roland E. Palmquist
"Dictionnaire français-anglais des termes relatifs à l'électrotechnique, l'électronique, et aux applications connexes",Henry Piraux
Introductory applied physics,Norman C. Harris
Electrets in engineering,"V. N. Kestelʹman, Vladimir N. Kestelman, Leonid S. Pinchuk, Victor A. Goldade"
Diffractional optics of millimetre waves,O. V. Minin
"Machinery, Materials Science and Engineering Applications","Fei Lei, Guangde Zhang, Qiang Xu"
Electronic Engineering,Dongxing Wang
Fundamental Elements of Applied Superconductivity in Electrical Engineering,Yinshun Wang
Elektrische Antriebe in der Fahrzeugtechnik,Gerhard Babiel
"Electricity for Refrigeration, Heating, and Air Conditioning",Russell E. Smith
The elements of electrical engineering,"William Suddards Franklin, William Esty"
Petroleum economics and engineering,Hussein K. Abdel-Aal
Instalaciones eléctricas,"Marcelo A. Sobrevila, Alberto Luis Farina"
Foundations of Multi-Paradigm Modelling for Cyber-Physical Systems,Paulo Carreira
Alternative energy systems,"Mike West, Mike West, Peter White, Brian Loughridge"
Principles of power engineering analysis,Robert C. Degeneff
Electrical installation practice,Henry A. Miller
Using MultiSIM,"John Reeder, John Reeder"
Handbuch Eisenbahninfrastruktur,Lothar Fendrich
Basic math course for electronics,Henry Jacobowitz
Electrical Safety,"Martha J. Boss, Gayle Nicoll"
Data-Driven Analytics for the Geological Storage of Co2,Shahab Mohaghegh
Maximum Entropy and Bayesian Methods,John Skilling
Insulation Measurement and Supervision in Live AC and DC Unearthed Systems,Piotr Olszowiec
Wavelets Made Easy,Yves Nievergelt
High Voltage Engineering in Power Systems,Khalil Denno
Pocket Book of Electrical Engineering Formulas,Richard C. Dorf
Practical MATLAB for Engineers - 2 Volume Set,Misza Kalechman
National rules for electrical installations,Electro-Technical Council of Ireland.
Electrical engineer's pocket-book,Horatio A. Foster
The elements of electrical engineering,William S. Franklin
Lasers in the preservation of cultural heritage,C. Fotakis
Secure Java,Abhay Bhargav
Energy,Yaşar Demirel
"The speaking telephone, talking phonograph, and other novelties",George B. Prescott
High-voltage engineering,E. Kuffel
Future Control and Automation,Wei Deng
Fundamental electrical and electronic principles,Christopher R. Robertson
Power generation technologies,Paul Breeze
Handbook of electrical engineering calculations,Arun G. Phadke
Handbook of International Electrical Safety Practices,Princeton Energy Resources International
Probability and Random Processes For Electrical Engineering,Alberto Leon-Garcia
Wasserstoff in der Fahrzeugtechnik,Helmut Eichlseder
Vector control of three-phase AC machines,Nguyen Phung Quang
Holographic data storage,Demetri Psaltis
Electronic properties of materials,Rolf E. Hummel
Structure-Borne Sound,L. Cremer
The electric circuit,Vladimir Karapetoff
General lectures on electrical engineering,Charles Proteus Steinmetz
The romance of modern electricity,"Gibson, Charles R."
Theory and calculation of transient electric phenomena and oscillations,Charles Proteus Steinmetz
Tesla,Richard Munson
WLAN positioning systems,Azadeh Kushki
Electronic and Electrical Engineering,L.A.A. Warnes
Electron Transport in Quantum Dots,Jonathan P. Bird
Stable parametric programming,S. Zlobec
Basic electricity/electronics,"Training & Retraining, Inc."
Basic electricity and an introduction to electronics,Howard W. Sams & Co.
Basic electricity and DC circuits,"Ralph A. Oliva, Charles W. Dale"
Audels mathematics and calculations for mechanics,Frank Duncan Graham
Electrical circuit theory and technology,"Bird, J. O."
Electrical Installations,Christopher Shelton
Principles of electricity and electronics for the automotive technician,Norm Chapman
Principles of direct-current electrical engineering,James R. Barr
Electricity and electronics teaches modern concepts,Howard H. Gerrish
Introduction to electrical engineering,Clayton R. Paul
Electrical engineering fundamentals,Vincent Del Toro
7th Mediterranean Electrotechnical Conference,"Mediterranean Electrotechnical Conference (7th 1994 Antalya, Turkey)"
Ugly's electrical references,George V. Hart
Opportunities in electrical trades,Robert B. Wood
Practical electricity,Terrell Croft
"Electricity in theory and practice; or, The elements of electrical engineering",Bradley A. Fiske
"Dictionary of electrical engineering, telecommunications and electronics",Werner Goedecke
Electromagnetic fields in electrical engineering,"International Symposium on Electromagnetic Fields in Electrical Engineering (1987 Pavia, Italy), A. Savini, J. Turowski"
Electromagnetic fields in electrical engineering,"Beijing International Symposium on Electromagnetic Fields in Electrical Engineering (1988 Beijing, China), China) Beijing International Symposium on Electromagnetic Fields in Electrical Engineering (1988 : Beijing, Shunnian Ding"
Introduction to electric power engineering,"Richard D. Shultz, R.D. Schultz, R.A. Smith"
Solution of large networks by matrix methods,Homer E. Brown
"Security in Distributed, Grid, Mobile, and Pervasive Computing","Xiao, Yang"
Electrical course for apprentices and journeymen,Roland E. Palmquist
Electrical engineering,"William H. Roadstrum, Dan H. Wolaver"
"Dictionnaire anglais-français des termes relatifs à l'électrotechnique, l'électronique, et aux applications connexes",Henry Piraux
Electrical installations and regulations,Michael Neidle
Basic Electrical and Instrumentation Engineering,"C. Sharmeela, P. Sivaraman, R. Mahendran, A. Thaiyal Nayagi"
White Noise,"Takeyuki Hida, Hui-Hsiung Kuo, Jürgen Potthoff"
Elektrische Antriebe - Grundlagen,Dierk Schröder
Elektrische Maschinen und Antriebe,"Klaus Fuest, Peter Döring"
Electrical Estimating Methods,Wayne J. Del Pico
Flexitranstore,Bálint Németh
Digital Transformation in Semiconductor Manufacturing,Sophia Keil
Electrical drafting and design,Calvin Collier Bishop
Modern electrical drives,"H. Bülent Ertan, H. Bulent Ertan, M. Yildirim Uctug"
Wavelets through a looking glass,"Ola Bratteli, Palle Jorgensen"
Electricity,"Howard H. Gerrish, William E., Jr. Dugger, Kenneth P. Delucca"
Fault diagnosis and reconfiguration in flight control systems,"Chingiz Hajiyev, C. Hajiyev, F. Caliskan"
Basic electricity,"Marcus, Abraham."
Renewable energy systems,"Marcelo Godoy Simões, Marcelo Godoy Simoes, Felix A. Farret, M. Godoy Simões, F. A. Farret"
"2007 IEEE Long Island Systems, Applications and Technology Conference","IEEE Long Island Systems, Applications, and Technology Conference (2007 Farmingdale, N.Y.)"
Foundations of electrical engineering,J. R. Cogdell
Applied electricity and electronics for technology,Rodney B. Faber
A history of electricity,Edward Tatnall Canby
Thomas Edison and electricity,Steve Parker
Reglamentos electrotécnicos de alta y baja tensión,Spain. Ministerio de Industria.
Electronics,"Robert L. Boylestad, Louis Nashelsky"
Elementary electrical engineering,Albert Edmund Clayton
Current Trends of Surface Science and Catalysis,Jeong Young Park
Phosphate Phosphors for Solid-State Lighting,Kartik N. Shinde
Nanoscale Technology for Advanced Lithium Batteries,"Tetsuya Osaka, Zempachi Ogumi"
Industrial electricity,"John M. Nadon, Bert J. Gelmine, Michael Brumbach"
Applied mathematics in aerospace science and engineering,Angelo Miele
IEEE standard dictionary of electrical and electronics terms,Institute of Electrical and Electronics Engineers
HVDC Grids,"Dirk Van Hertem, Oriol Gomis-Bellmunt, Jun Liang"
