Book Title,Authors
The electrical safety program guide,"Jones, Ray A. P.E."
PE electrical & electronics engineering,Delowar Hossain
Audels New Electric Library,Frank Duncan Graham
Gateway to future science with Nikola Tesla,Tijana T. Ivancevic
"Building ordinances, City and County of San Francisco",San Francisco (Calif.)
"Official building laws, City and County of San Francisco, 1921",San Francisco (Calif.)
Kurzes Lehrbuch der Elektrotechnik,Günther Oberdorfer
Lehrbuch der Elektrotechnik,Günther Oberdorfer
Lexikon der Elektrotechnik,Günther Oberdorfer
The Design of Electrical Machinery,John Walter Esterline
Les applications pratiques des ondes électriques: télégraphie sans fil : télégraphie avec ..,Albert Camille Léopold Turpain
Low voltage electrical hazards,Virginia. Dept. of Labor and Industry.
Standard trade training notes,Electronic Engineering Trade Group.
Initiation aux techniques industrielles,Gérald Hémond
Introduction toelectrical engineering,C. R. Paul
ACM MSWiM 2006,"ACM Symposium on Modeling, Analysis, and Simulation of Wireless and Mobile Systems (9th 2006 Torremolinos, Malaga, Spain)"
Electrical safety code manual,K. J. Keller
Technisches Englisch-Deutsch Wörterbuch Automobiltechnik Kraftfahrzeugtechnik Luftfahrt kfz-Mechatronik,Markus Wagner
ECTI-CON 2008,"International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (5th 2008 Krabi, Thailand)"
Articles,Nikola Tesla
"Dnevnik istraživanja iz Kolorado Springsa, 1899-1900",Nikola Tesla
Lectures,Nikola Tesla
"Nikola Tesla, lecture before the New York Academy of Sciences",Nikola Tesla
"Nikola Tesla: lectures, patents, articles",Nikola Tesla
"Nikola Tesla on his work with alternating currents and their application to wireless telegraphy, telephony, and tranmission of power",Nikola Tesla
"Nikola Tesla on his work with alternating currents and their application to wireless telegraphy, telephony, and transmission of power",Nikola Tesla
Od Kolorado Springsa do Long Ajlenda,Nikola Tesla
Patenti,Nikola Tesla
Dnevnik istraživanja,Nikola Tesla
Chŏnʼgi kwanʼgye popkyujip,Korea (South)
Practical lessons in electricity,Robert Andrews Millikan
A pocket-book of electrical rules and tables,John Munro
Minguo shi qi ji dian ji shu =,Shoutai Wang
[Electric engineering.],International Library of Technology
VI Konferencja naukowa Postępy w elektrotechnologii,"Konferencja naukowa Postępy w elektrotechnologii (6th 2006 Jamrozowa Polana, Poland)"
Electrical equipment of buildings,"Molloy, Edward"
Newnes electrical tables and data,"Molloy, Edward"
Selektivschutz,Hermann Neugebauer
"Selektivschutz, messtechnische Grundlagen, Schaltungsmöglichkeiten und Anwendungen",Hermann Neugebauer
Einführung in die theoretische Elektrotecnik,Karl Küpfmüller
2007 4th International Conference on Electrical and Electronics Engineering,"International Conference on Electrical and Electronics Engineering (2007- ) (4th 2007 Mexico City, Mexico)"
La naissance de l'ingénieur-électricien,"Colloque international d'histoire de l'électricité (3rd 1994 Paris, France)"
Środkowoeuropejska III Konferencja Naukowo-Techniczna,"Central European Conference Numerical Methods and Computer Systems in Automatic Control and Electrical Engineering (3rd 1999 Częstochowa, Poland)"
IV MSKAE'2001,"Central European Conference Numerical Methods and Computer Systems in Automatic Control and Electrical Engineering (4th 2001 Częstochowa, Poland)"
2006 International Conference on Industrial and Information Systems,"International Conference on Industrial and Information Systems (2006 Peradeniya, Sri Lanka)"
Syllabus in technical subjects: technical electricity,University of the State of New York.
Beijing di qu dian qi an quan gong zuo gui cheng,Beijing (China). Gong dian ju.
Japanese-English glossary of electrical and electrocommunication terms,Stanley Gerr
Electrical engineering (general) ..,Alfred Thomas Dover
100 years,Jason B. Chrystal
Basic electricity,Harland G. Skuse
Exposé des applications de l'électricité,Théodose Achille Louis comte Du Moncel
Tribute to Nikola Tesla,Ljubo Vujovic
"Yuchʻŏn Sŏ Kuk-chʻŏl Paksa nonmun, munsŏnjip",Kuk-chʻŏl Sŏ
Experimental electrical engineering and manual for electrical testing,Vladimir Karapetoff
Law and the power engineer,Robert S. W. Pollard
Experimental electrical engineering,"Rapson, Ernest Thomas Arthur"
Thomas Edison and the developers of electromagnetism,Elizabeth R. Cregan
UK IT 1990 conference,UK IT Conference (1990 University of Southampton)
Ippan kyōden kōgaku,Shōgo Ozawa
Shi yong nong cun dian gong shou ce,Zhansong Zhang
Edward Lindley Bowles papers,Edward Lindley Bowles
"Wörterbuch Elektrotechnik, Energie- und Automatisierungstechnik =",Industry Automation Translation Services
Die Frequenz-Leistungsregelung im österreichischen Elektrizitätsrecht,Margit Reiter
Advances in electrical engineering and computational science,"World Congress on Engineering (2008 London, England)"
Twentieth century hand-book for steam engineers and electricians with questions and answers,Calvin Franklin Swingle
Static electricity,United States. Bureau of Labor Standards.
Applied electricity and electronics,Clair Bayne
Electrical aids to greater production,Allen Mason Perry
Twentieth century handbook for steam engineers and electricians,Calvin Franklin Swingle
Harrell V. Noble papers,Harrell V. Noble
Electrician,Michael Teitelbaum
Experiments and tests on electrical circuits and machinery,"Reed, Henry R."
Storia della tecnica elettrica,V. Cantoni
Multiple choice questions in electronics and electrical engineering,Thomas J. Davies
US policy towards Cuba,Jessica F. Gibbs
Global politics and the responsibilty to protect,Alex J. Bellamy
Wireless Multimedia Sensor Networks On Reconfigurable Hardware Information Reduction Techniques,Kah Phooi Seng
Electrical engineer's reference book,M. A. Laughton
A brief history of electro magnetism,J. Parks
New mechanical power,
Handbook for employees of the Electrical division,Panama Canal. Dept. of operation and maintenance. Electrical division. [from old catalog]
Corporation of Dundee Electricity supply department,"Dundee, Scot. Electricity supply dept. [from old catalog]"
Questions arising in the consideration of the financial and business aspects of municipal electricity supply,C. W. Charlesworth
"Re-design of gas power plant of Hoopeston, Illinois",Donald Frederic Harrison
"Test of General Electric recording steam flow meter, type R form D",Herbert Kay Humphrey
Reconstruction of the electric system of the University of Illinois,Arthur Casson Hobble
"Investigation and design of a power plant for Mahomet, Illinois",Everet Andy Maze
Design of a high frequency generator,Joseph Ferdinand Chinlund
Compulsory interchange of services of rival telephone companies,William Conrad Nein
Standard handbook for electrical engineers,Donald G. Fink
A life test of refilled carbon lamps,Robert Lee Shute
The installation of a 45-k.w. motor generator,Frank Lawrence Hanson
DC Electrical Circuits Workbook,James M. Fiore
"Small signal stability, control and dynamic performance of power systems","M. J. Gibbard, D. J. Vowles, P. Pourbeik"
Handbook of modern electronics and electrical engineering,Charles Belove
Kreiselpumpen,Johann Friedrich Gülich
Dewalt electrical licensing exam guide,H. Ray Holder
The ionospheric plasma research experiment,Helen L. Reed
Electricity in homes and workshops,Sydney Ferris Walker
Bird's pocket reference guide for electrical and electronic engineers,J. O. Bird
Higher electrical technology,J. O. Bird
Mathematics for electrical technicians,J. O. Bird
Electrifying experience,Percy Barnevick
Wa-Ei taiyaku denki yōgo kaisetsushū,Hisashi Onodera
Interstate movement of electric energy,United States. Federal Trade Commission.
Entry barriers and foreign penetration,Örjan Sölvell
Power Electronics,"Mohan, Ned, etc."
The history of electricity in Queensland,Col Dunn
Anglicko-český a česko-anglický elektrotechnický slovník =,Ivan Bošňák
Telemetry data collection from OSCAR satellite,Paul C. Haddock
Gettering and defect engineerig in semiconductor technology XII,"International Autumn Meeting ""Gettering and Defect Engineering in Semiconductor Technology"" (12th 2007 Erice, Italy)"
The Florida life of Thomas Edison,Michele Wehrwein Albion
NEUREL 2006,Seminar on Neural Network Applications in Electrical Engineering (8th 2006 University of Belgrade)
2005 IEEE International Conference on Electro Information Technology,IEEE International Conference on Electro Information Technology (2005 University of Nebraska--Lincoln)
Handbook of practical electrical design,J. F. McPartland
"Engineering tests, civil, mechanical and electrical","Liebers, Arthur"
Dictionary of heavy electrical engineering,George Wilfred Stubbings
Electrical technology for beginners,George Wilfred Stubbings
Principï fondamentali di propulsione navale termoelettrica,Aldo Firpo
Dalla rana di Galvani al volo muscolare,C. Rossi
Basic theory in electrical engineering,Royce Gerald Kloeffler
Esercizi di elettrotecnica,Silvino Lisdero
The effect of pulse shaping QPSK on bandwidth efficiency over a non-linear channel,Josua Bisuk Mubyarto Purba
Machines in electrical engineering,John O. Kraehenbuehl
Formulae and tables for the design of air-core inductance coils,Frederick Eugene Pernot
Continuum electromechanics,James R. Melcher
6th Mediterranean Electrotehnical [sic] Conference,"Mediterranean Electrotechnical Conference (6th 1991 Ljublana, Yugoslavia)"
Proceedings of the Institution of Electrical Engineers,Institution of Electrical Engineers
Grundlæggende materiallære for elektro-ingeniører,Alf Larsen
"Schriftenreihe Geschichte der Naturwissenschaften und der Technik, Band 7: Robert von Lieben: 100 Jahre Patent Kathodenstrahlenrelais",Franz Pichler
Denki kōji,Hiroyuki Takai
Schuleraktiver Experimentalunterricht in Der Berufsschule,Fritz Acksteiner
Dictionnaire d'electronique. de materiel informatique et d'electricite,Jean-Guy Grenier
Unter Kontrolle,Steffen Reichert
"Elektrotechnische Lernsoftware Für Den Technikunterricht An Hauptschulen (Erziehungskonzeptionen Und Praxis,)",Manfred Luketic
Einfuhrung Von Wettbewerb Auf Der Letzten Meile,Sarah Schniewindt
Dian li gong cheng ming ci ci dian,Wenneng Chen
Ordinary and honours questions on electrical engineering,"Jamieson, Andrew"
An introductory textbook of electrical engineering,John Robert Benton
Electrical safety,Thaddeus W Fowler
Lectures on Wiener and Kalman Filtering,T Kailath
"Dian qi tiao zheng gong, san ji gong",Wenliang Liu
"Dian qi tiao zheng gong, si ji gong",Wenliang Liu
Survey of rural electrification in the commonwealth of Massachusetts,Massachusetts. Emergency Relief Administration.
2001 Siberian Russian student workshop on electron devices and materials,"Siberian Russian Student Workshops on Electron Devices and Materials (2nd 2001 Erlagol, Altai, Russia)"
"2006 IEEE Long Island Systems, Applications, and Technology Conference","IEEE Long Island Systems, Applications, and Technology Conference (2nd 2006 Farmingdale, N.Y.)"
"Recent advances in power, signal processing, and control","National Conference on Recent Advances in Power, Signal Processing, and Control (2004 Dept. of Electrical Engineering, National Institute of Technology)"
"Proceedings of the All India Seminar on Applications of Evolutionary Strategies to Power, Signal Processing and Control","All India Seminar on Applications of Evolutionary Strategies to Power, Signal Processing and Control (2002 Dept. of Electrical Engineering, Regional Engineering College, Rourkela)"
Electrical apprentice,New York (State). Bureau of Vocational Curriculum Development and Industrial Teacher Training.
"A dictionary of electrical terms, including electrical communication",S. R. Roget
Die  Elektrotechnik,"Bergtold, Fritz"
Mathematics for radio and electronics technicians,"Bergtold, Fritz"
Mathematik für Radiotechniker und Elektriker,"Bergtold, Fritz"
RADECS 2001 : 2001 6th European Conference on Radiation and its Effects on Components and Systems,"European Conference on Radiation and its Effects on Components and Systems (6th 2001 Grenoble, France)"
Werkstoffe der Elektrotechnik in Tabellen und Diagrammen,Werner Espe
"Drum Armatures and Commutators, Theory and Practice: A Complete Treatise on the Theory and ..",F. Marten Weymouth
100 questions and answers about electrical safety,"Jones, Ray A. P.E."
Safe work practices for the electrician,"Jones, Ray A. P.E."
Introduction to electrical and computer engineering,Charles B. Fleddermann
Zeszyt wydany z okazji V Sympozjum Energoelektronika w Nauce i Dedaktyce ENiD'99,"Sympozjum Energoelektronika w Nauce i Dedaktyce (5th 1999 Gliwice, Poland)"
Zukunft technischer Weiterbildungsberufe,Thomas Diehl
Electrical engineering,"Ṭekhniyon, Makhon ṭekhnologi le-Yiśraʼel."
Por qué no deben ser derogados los preceptos que sancionan la substracción ilícita de energía eléctrica,José Berlanga Berumen
Kindai denki hōki,Tsutomu Inoue
Dian gong xue,"Dalian gong xue yuan. ""Dian gong xue"" bian xie zu."
Sisteme de protecție împotriva tensiunilor electrice accidentale în instalațiile de joasă tensiune,Grigore Vasilache
Chʻukcho haesŏl sin chŏnʼgi saŏppŏp,Sŏng-hwan Sŏk
Senʼyō denki kōgaku,Yutaka Morita
Nihon Denki Kyōkai Dai 43-kai Tsūjō Sōkai kenkyūkai kōen ronbunshū,Nihon Denki Kyōkai. Tsūjō Sōkai
Shōwa 49-nen Denki Shigakkai Rengō Taikai kōen ronbunshū =,Denki Shigakkai Rengō Taikai (1974)
Denki ōyō,Sanʼichirō Masuda
Shotō matorikusu to denki kōgaku,Toshitarō Takeuchi
Denki setsubi no jissai,Yoshiyasu Miyazato
Denki kōgaku tsūron,Matsujirō Ōyama
Gaishi oyobi tōkan to kōatsu kōgaku,Yukihiro Shingū
Saishin jitsumu denki kōgaku,Hanʼei Metō
Baiasu denki kōgaku,Yoshiaki Oka
Kaisei denki kōsakubutsu kitei yōshi,Hide Mori
Postępy w elektrotechnologii,"Konferencja naukowa Postępy w elektrotechnologii (4th 2000 Jamrozowa Polana, Poland)"
Trojezični elektrotehniški slovar,Peter Poženel
100 jaar spanning,Ado Ladiges
Zhongguo dian gong ji shu xue hui di liu jie xue shu hui yi lun wen ji,Zhongguo dian gong ji shu xue hui xue shu hui yi.
LESCOPE '03,"Large Engineering Systems Conference on Power Engineering (6th 2003 Montréal, Québec)"
2004 IEEE Region 5 Conference,"IEEE Region 5 Technical Conference (2004 Norman, Okla.)"
Jedlik Ányos István élete és alkotásai (1800-1895),Viktor Ferenczy
Computer applications in electrical engineering,"ZKwE 2002 (2002 Poznán, Poland)"
"Mezhdunarodnai︠a︡ nauchno-tekhnicheskai︠a︡ konferent︠s︡ii︠a︡ ""Perenapri︠a︡zhenii︠a︡ i nadezhnostʹ ėkspluatat︠s︡ii ėlektrooborudovanii︠a︡""","Mezhdunarodnai︠a︡ nauchno-tekhnicheskai︠a︡ konferent︠s︡ii︠a︡ ""Perenapri︠a︡zhenii︠a︡ i nadezhnostʹ ėkspluatat︠s︡ii ėlektrooborudovanii︠a︡"" (2003 Saint Petersburg, Russia)"
Applied codeology,Jim Dollard
2004 IEEE AFRICON,"African Electrical Technology Conference (7th 2004 Gaborone, Botswana)"
Proceedings of the IEEE INDICON 2004,IEEE INDICON 2004 (2004 Indian Institute of Technology Kharagpur)
2004 International Siberian Workshop on Electron Devices and Materials,"Siberian Russian Student Workshops on Electron Devices and Materials (5th 2004 Erlagol, Altai, Russia)"
Teorinė elektrotechnika,Povilas Pukys
Zbornik radova,"International Tesla Conference (5th 1996 Belgrade, Serbia)"
"The eighteenth Annual National Conference of the Nigerian Society of Engineers, Electrical Division 2002","National Conference on ""Milestones of Electrical Engineering Development in Nigeria Since Independence"" (2002 Lagos, Nigeria)"
Dian gong fa gui,Chengru Liang
Sovremennai︠a︡ radioėlektronika v retrospektive ideĭ V.A. Kotelʹnikova,"Mezhdunarodnai︠a︡ nauchnai︠a︡i︠a︡ konferent︠s︡ii︠a︡ k 95-letii︠u︡ akademika V.A. Kotelʹnikova (2003 Moscow, Russia)"
The Fourth Postgraduate Electrical Engineering and Computing Symposium,"Postgraduate Electrical Engineering and Computing Symposium (4th 2003 Curtin University of Technology, W.A.)"
"Proceedings, Electrical Insulation Conference and Electrical Manufacturing Conference","Electrical Insulation Conference (2005 Indianapolis, Ind.)"
National electrical safety code,IEEE-USA.
Dian gong fa gui,Pushi Shen
Die Entwicklung der Starkstromtechnik bei den Siemens-Schuckertwerken,Siemens-Schuckertwerke.
2006 3rd International Conference on Electrical and Electronics Engineering,"International Conference on Electrical and Electronics Engineering (2006- ) (3rd 2006 Veracruz, Veracruz-Llave, Mexico)"
2006 large engineering systems conference on power engineering,"Large Engineering Systems Conference on Power Engineering (2006 Halifax, N.S.)"
International Workshop and Tutorials on Electron Devices and Materials proceedings,"International Siberian Workshop on Electron Devices and Materials (7th 2006 Erlagol, Altai, Russia)"
DK: Dezimalklassifikation,International Federation for Documentation.
"Elektrische Starkstromanlagen: Maschinen, Apparate, Schaltungen, Betrieb",Emil Kosack
Schaltungsbuch für Gleich- und Wechselstromanlagen,Emil Kosack
Les pionniers de la houille blanche et de l'électricité,François Bouchayer
International Conference on Parallel Computing in Electrical Engineering : PARELEC 2002,"International Conference on Parallel Computing in Electrical Engineering (2002 Warsaw, Poland)"
"Advances in power system control, operation & management","International Conference on Advances in Power System Control, Operation & Management (5th 2000 Hong Kong, China)"
Dictionary of electrical engineering,K. G. Jackson
Questions and answers on electricity,K. G. Jackson
Heavy electrical engineering,H. M. Hobart
Basic electrical engineering for students of electrical engineering,George Francis Corcoran
Electrical and electronic engineering principles,Noel M. Morris
Fine collimator grids using silicon metering structure,Carol Eberhard
Notes and questions for the dynamo laboratory,"Caldwell, Francis Cary"
"7th Intersociety Energy Conversion Engineering Conference, 1972 ..","Intersociety Energy Conversion Engineering Conference (7th 1972 San Diego, Calif.)"
PARELEC 2006,"International Conference on Parallel Computing in Electrical Engineering (2006 Bialystok, Poland)"
21 shi ji de Zhongguo dian ji gong cheng,Zhongguo dian ji gong cheng. Qing nian xue shu hui
The IEE Seminar on Beyond WEEE Unsustainable Product Design and How to Avoid it,"IEE Seminar on Beyond WEEE Unsustainable Product Design and How to Avoid it (2005 London, England)"
The IEE seminar on safety critical applications from aerospace to automotive,"IEE Seminar on Safety Critical Applications from Aerospace to Automotive (2006 MTU Museum, Munich, Germany)"
2006 Annual IEEE India Conference,"IEEE India Conference (2006 New Delhi, India)"
Stationary engineer and fireman,Arco Publishing Company.
Engineering Dictionary. Elektrotechnik und Maschinenbau. Technik- Wörterbuch mit phonetischer Umschrift,Georg Möllerke
Vector and phasor analysis of electric fields and circuits,H. Cotton
Kamus kejuruteraan elektrik,Zakaria Osman.
The boy's book of modern scientific wonders and inventions / by Leonard Bertin,Leonard Bertin
"The Electicity (supply) act, 1926",Rand McNally
The Electricity supply acts,Rand McNally
Elektrotechnik,Germany. Wehrmacht. Oberkommando.
2006 IEEE International Conference on Electro/Information Technology,IEEE International Conference on Electro Information Technology (2006 Michigan State University)
Elektrotechnisches Englisch,Henry George Freeman
DeWalt electrical licensing exam guide,H. Ray Holder
Practical calculations for electricians,H. Ray Holder
Varnost strojev,Milan Srna
Begrippen en toepassingen,K. de Koning
Baker's guide,John Weild
Economic Value of Electric Light and Power,Allen Ripley Foote
The Elements of mechanical and electrical engineering,International Correspondence Schools
A textbook on electric lighting and railways,International Correspondence Schools
Working safely with electricity,International Correspondence Schools
Electrical handbook,International Correspondence Schools
The elements of electrical engineering,International Correspondence Schools
Electric fix-it book,Popular Mechanics
AFRICON '96,"African Electrical Technology Conference (4th 1996 University of Stellenbosch, South Africa)"
Introduction to efficient electrical systems design,Stephen Ayraud
Introduction to electricity,Kurt Harding Schick
Electrotech 92,International Union for Electroheat. Congress
The electrical engineer's handbook illustrated,"Liebers, Arthur"
Engineers & electrons,John Douglas Ryder
Stationary engineer,National Learning Corporation
IEEE 100,Institute of Electrical and Electronics Engineers
"Illustrated guide to the National electrical code, 1996",John E. Traister
Experimenting with industrial electrical systems,Dale R. Patrick
Denki kankei hōki oyobi gijutsu kijun kaisetsu,
Electricity for electricians,"Marcus, Abraham."
Ėlektrotekhnika i avtomatika v stroitelʹstve i kommunalʹnom khozi︠a︡ĭstve,
Keller-Soft safety singles,
Understanding electricity and electronics principles,"Heiserman, David L."
Modern electricity/electronics,"Miller, Gary M."
American electrical cases,William W. Morrill
Emerging Techniques in Power System Analysis,Zhao Yang Dong
Petroleum chemistry and refining,James G. Speight
Electrical,Peerless Institute
[Dālil Neons al-kahrabāʼī ],E. A. Reeves
Ten essential skills for electrical engineers,Barry L. Dorr
"Dian xue, jing jian tu jie hen hao dong",Hiroaki Kogure
"Future Computing, Communication, Control and Management",Ying Zhang
Uniform classification of accounts for electric utilities (tentative),"Public Utilities Commission of Ohio, Public Utilities Commission of Ohio"
Electrical estimating,Charles Michael Holt
Electrician's exam preparation,Charles Michael Holt
Journeyman electrician's exam preparation,Charles Michael Holt
Master electrician's exam preparation,Charles Michael Holt
The truth about Tesla,Christopher Cooper
Dzhordzh Vestingauz,Henry G. Prout
Electrician,Jeri Freedman
"Advances in Nuclear Science and Technology, Volume 26",J. Lewins
A Dictionary of Electronics and Electrical Engineering,"Andrew Butterfield, John Szymanski"
Jiu shi yao qing song,Qingde Yang
Dian ye ying yong wen shu xie zuo,Jianmin He
The Homeowner's DIY Guide to Electrical Wiring,David Herres
Applications of high-field and short wavelength sources,"Anne L'Huillier, Louis DiMauro, Margaret Murnane"
Time-Dependent Quantum Molecular Dynamics,J. Broeckhove
Semiconductor Device Physics and Simulation,J.S. Yuan
Dian gong yu dian zi ji shu shi yan,Xinkai Wu
Conformal transformations in electrical engineering,W. J. Gibbs
Photovoltaik,Viktor Wesselak
Science and Technology of Nanostructured Magnetic Materials,G.C. Hadjipanayis
Quantum Communications and Measurement,V.P. Belavkin
"Laser Interactions with Atoms, Solids and Plasmas",Richard M. More
Nonparametric Methods in Change-Point Problems,B. E. Brodsky
Physical Processes in Laser-Materials Interactions,Marco Bertolotti
Electromagnetic Response of Material Media,Yu.A. Ilinskii
"NJATC text book for the course, applied codeology",National Joint Apprenticeship and Training Committee for the Electrical Industry
An illustrated guide to electrical safety,Thomas M. Kovacic
Elements of electrical engineering,George Defrees Shepardson
Electrical safety practices,
"Electrician, electrician's helper","Rex Miller, Mark R. Miller"
"A ""100 éves a Ganz Villamossági Művek és a magyar erősáramú ipar"" című tudományos konferencia anyaga",
Means electrical estimating methods,John H. Chiang
Fachwörterbuch der Elektrotechnik in sechs Sprachen,W. E. Clason
Commémoration de lœ̓uvre dA̓ndré-Eugène Blondel,
The modern electrical engineer,Arthur Arnold
Residential electrical estimating,John E. Traister
Từ điẻ̂n điện-điện tử Anh-Việt,
Spravochnik po ėlektroustanovkam promyshlennykh predprii︠a︡tiĭ,
Electricity one-seven,Harry Mileaf
Langenscheidt Routledge German dictionary of electrical engineering and electronics,Peter-Klaus Budig
Workplace safety in action,Julie Nussbaum
Electrician and electrician's helper,"Rex Miller, Mark R. Miller"
"Dian gong xue, zi wo ce yan si bai ti",Daheng Zhang
Dian xue dian gong ji shu ci dian =,
Electricity,Elmer Ellsworth Burns
Calculul circuitelor electrice în regimuri normale și anormale de funcționare,Ion S. Antoniu
Press of a switch,George Edward Baker
Newnes concise encyclopaedia of electrical engineering,M. G. Say
Formeln der Elektrotechnik und Elektronik,Heinrich Netz
Rečnik industrijske elektrotehnike,Stipe Radić
The Crabtree electrical handbook,
Lexikon Elektrotechnik,Hans Dieter Junge
Principles of electricity and basic electronics,"Cornetet, Wendell Hillis"
Electrical specifications for building construction,John E. Traister
Career paths in E/E engineering,Roger William Bolz
"50 Jahre Verband Deutscher Elektrotechniker, Bezirksverein Nordbayern e. V. (vorm. Elektrotechnische Gesellschaft Nürnberg)",
Electrical safety abstracts,Instrument Society of America Staff
Elektrotechnika,
Electrical engineering theory and practice,Philip Kemp
Beiträge zur Geschichte von Elektrotechnik und elektrotechnischer Bildung in Leipzig,
Applied electricity,American Technical Society
Kurzes Lehrbuch der Elektrotechnik,Adolf Thomälen
Vene-eesti elektrotehnika sōnastik,
An Illustrated guide to electrical safety,E. K. Greenwald
"Preferred voltage levels for AC systems 0 to 50,000 volts",Canadian Electrical Association.
150 Jahre Elektrotechnik 1831-1981,
Electrical fundamentals and circuit analysis,Harry Alex Romanowitz
Everybody's television and radio handbook,Popular Science Publishing Company
"The Electricity (Supply) Act, 1926",Edward Johnson Rimmer
Plant engineer's manual,L. C. Morrow
Means electrical estimating,William D. Mahoney
Energia elétrica em questão,Paulo Brandi
Spravochnik po ėlektrotekhnicheskim materialam,K. A. Andrianov
"Fachwörterbuch industrielle Elektrotechnik, Energie- und Automatisierungstechnik",Heinrich Bezner
Economic value of electric light and power,Allen Ripley Foote
"Electrical design, safety, and energy conservation",Albert Thumann
Yugoslav electrical engineering industry,
Kinnen no ayumi,
Sibirskai︠a︡ ėlektrotekhnicheskai︠a︡ shkola,
"Software for electrical engineering, analysis, and design V",C. A. Brebbia
Electricity,"Miller, Wilbur R."
"Les Thèmes de recherche en électrotechnique, électronique, automatique et informatique =",Yann Tanguy
Energiagazdálkodás,
Từ điẻ̂n kỹ thuật điện-điện tử-viẽ̂n thông,
How to read schematic diagrams,Nathan Buitenkant
The new IEEE standard dictionary of electrical and electronics terms,Institute of Electrical and Electronics Engineers
Laboratorium elektrotechniki ogólnej,
Understanding NE code rules on-- grounding and bonding,Frederic P. Hartwell
Introductory experiments for television projectionists,RCA Service Company.
Electrical engineering materials reference guide,H. Wayne Beaty
"Istilah teknik listrik, Inggris-Indonesia, A-Z",
La Recherche et son image,
Index of acronyms and abbreviations in electrical and electronic engineering,
Electrical trade theory2,
Principles & practice of electrical engineering,"Merle C. Potter, F. J. Hatfield"
"B.E.P. électrotechnique, électrotechnique et essais et mesures",
Powerline technician,
Electrotechnology,Robert P. Ouellette
Technologie d'électricité ... .,
Sbornik stateĭ po avtomatike i ėlektrotekhnike,Vladimir Viktorovich Solodovnikov
Ying Han tien kung tzù hui =,
1981 National Electrical Code,
Electromagnetic fields in electrical engineering,"Andrzej Krawczyk, S. Wiak"
Philippine electrical code,
Handbook of electrical tables and design criteria,V. F. Christoffer
A catalogue of periodical publications in the library of the American Institute of Electrical Engineers,American Institute of Electrical Engineers. Library.
Manual oficial de normas técnicas eléctricas vigentes en la República de Chile,
Illustrated changes of the 1990 NEC,James G. Stallcup
Electronic data book,
"Kleines Wörterbuch der Elektrotechnik, Elektronik",
Angliĭsko-bŭlgarski elektrotekhnicheski rechnik,
Preobrazovatelʹnye ustroĭstva v ėlektroėnergetike,
"A list of electrical subjects for thesis, research, and advanced study",
Electronics laboratory manual,Ralph Ross Wright
Dian ji gong cheng shou ce,
Avtomatika i ėlektromekhanika,"Viktor Sergeevich Kulebakin, Boris Nikolaevich Petrov"
The Practical electrical reference book,
Engineering education,Institute of Electrical and Electronics Engineers
Bremen wird hell,Heinz-Gerd Hofschen
Voprosy ėlektromekhaniki,
Electricity for young people,Tudor Jenks
Dr. Nikola Tesla,"Nikola Tesla, John T. Ratzlaff"
Report on the Kegley branch rural electric line,Iowa. State Planning Board.
Dicționar elementar de tehnică modernă,
Dynamika układów elektromechanicznych,Władysław Kołek
Electrical engineering,Pergande Publishing Company.
Mokslas ir gamyba,
FE/EIT electrical engineering review,Merle C. Potter
Rudiments of electrical engineering,Philip Kemp
What an engineer should know about electricity,Albert L. Clough
Designing electrical systems based on the 1993 NEC,James G. Stallcup
Electrical and radio dictionary,
"Dicționar de electrotehnică, electronică, telecomunicații, automatică și cibernetică, englez-român",
Utilizarea energiei electrice,Theodor Miclescu
Illustrated changes of the 1984 National electrical code,James G. Stallcup
Spravochnik ėnergetika promyshlennykh predprii︠a︡tiĭ,
"Handbook to the electricity regulations, 1993",
1998 Yearbook Supplement to McGraw-Hill's National Electrical Code Handbook,"Joseph F. McPartland, Brian J. McPartland"
Shi yong dian gong wen da,"Yansheng Li, Guisen Yang, Jiaxiu Chen"
Fundamentals of Engineering Electromagnetics,Sunil Bhooshan
Brilliance,Anthony Mccarten
"DEWALT Electrical Licensing Exam Guide, Based on the NEC 2011",Ray Holder
Electrical Level 1 Trainee Guide,National Center for Construction Education and Research (NCCER) (U.S.)
Offshore Electrical Engineering Manual,Geoff Macangus-Gerrard
Institutional Economics in France and Germany,Agnès Labrousse
Applications of Neural Networks,Alan F. Murray
International Conference on Communications (Proceedings 1993),Institute of Electrical and Electronics Engineers
Midwest Symposium on Circuits and Systems,Institute of Electrical and Electronics Engineers
Past to present,Institute of Electrical and Electronics Engineers
Power Engineering,Institute of Electrical and Electronics Engineers
Mathematics for Electrical Technicians,"John Bird, Antony J.C. May"
Electrical Studies for Trades,Stephen L. Herman
Dry Etching for Vlsi,A.J. Van Roosmalen
FE Electrical and Computer Review Manual,Michael R. Lindeburg PE
Electric Safety,Mohamed El-Sharkawi
Optimal Control Applications in Electric Power Systems,"G.S. Christensen, M.E. El-Hawary, S.A. Soliman"
Generalized Functions and Their Applications,R.S. Pathak
Thick Film Sensors,M. Prudenziati
Electrical and engineering mathematics,R. G. Meadows
Transport and Optical Properties of Nonideal Plasma,I.T. Iakubov
Electrical principles for technicians,"K. G. Waterworth, R. P. Phillips"
Curso de Circuitos Elétricos - Vol. 2,"Luiz de Queiroz Orsini, Denise Consonni"
